n_particles,tv_to_exact_power
4,0.1319101819501344
8,0.08620995257351112
16,0.051335222313935606
32,0.05041522477206709
64,0.04224088704549441
128,0.027284251539140013
256,0.0074724399730677
512,0.007606613019383673
