temperature,incremental_weight_variance
0.05,1.487172271473504e+55
0.1,1331799644.4724414
0.15,0.004701523813745667
0.2,4.5699092874329494e-06
0.25,0.0
0.3,1.068153850258824e-06
0.4,3.596047527298918e-05
0.5,0.00028155298724075184
0.75,0.004701523813745667
1.0,0.02040368541437454
1.5,0.09449528941792085
2.0,0.2106416448259607
